author,party,date,text,topic_tags,sentiment_tags
תמר זנדברג,מרצ,"17 במאי 2019, 07:21","['ל ה היות אזרח', 'אמרתי ל שכבת י ב בית ה ספר ה עמק ה מערבי ב יפעת שקיבלו אתמול תעודות זהות', 'זה להיות שווה', 'שווה ל ה שכנים כאן ב ה זרזיר או ביר אלמכסור', 'לא כמו ש מציע חוק ה לאום', 'זה להיות ספקן', 'לתבוע מ ה מנהיגים ש ל אנחנו להתרחק מ שחיתות', 'גם כאשר ראש ה ממשלה עצמו חשוד ב שלושה תיקי שוחד ו מנסה לעוות את ה דמוקרטיה ה ישראלית כדי לחמוק מן הם', 'זה ל היות פוליטי', 'תשאלו שאלות', 'תנקטו עמדה', 'דעו ש גם אי נקיטת עמדה היא עמדה', 'ה מקום הכי חם ב גהינום שמור ל מי ש ב זמנים של משבר מוסרי שומר על נייטרליות', 'אבל גם אם לא תעשו שום דבר מ ה דברים ה אלה', 'עדיין מוקנות ל אתם ו לכן זכויות שלא מותנות ב שום דבר', 'לא יכולתי ש לא ל חשוב כמה חברות או חברי כנסת ל ה עתיד ישבו מול אני הערב', 'תהיו טובים', 'תעשו טוב', 'ב ה הצלחה']","[0, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 2, -1, 2, 2, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
איציק שמולי,העבודה,"8 במאי 2019, 09:22","['ב ה חלקה ה צבאית ל ה חללים ה דרוזים ב שפרעם', 'מילותינו צרות מ להכיל את הוקרתנו ל תרומתה ה אדירה ו ה נאמנה של ה עדה ה דרוזית כולה', 'עדה קטנה ו מובחרת', 'ל בניין ה אומה עוד ב הנחת ה יתדות ה ראשונים', 'מ הרי ה גליל ו מ מורדות ה כרמל ירדו לוחמים דרוזים כדי לסייע ב מלחמת ה עצמאות ל מלחמת ה מגן ה יהודית', 'ה עם ה יהודי למוד ה סבל יודע ש חירותו ו קוממיותו הושגה ב ה מחיר גבורתם של טובי בניכם', 'כבר 71 שנה ש אנו קוברים את ילדינו ב מאבק ה מגן ש אין רואים את סופו', 'שוב ו שוב נופלים ה הולכים ראשונה ב חוד ה מחנה ו בניכם תמיד עמנו שם שכם אל שכם', 'אני יודע ש ב ה לבכם פצע פתוח', 'גם לבי כואב על חוק ה לאום ה חסר ו ה מפלה כי שומר אחי אנוכי ו אחי שומר גם הוא את אני', 'דעו נא כי אני אינני מוכן לוותר עליכם כ ה אחים ו ה שותפים שווים ו אנו מחויבים ב תיקונו', 'ה שיוויון ש יצר ה מוות בין דרוזים ל ה יהודים במותם ב הגנה על ה מולדת הוא את הוא ה שיוויון ש אנו מצווים ב הוא גם ב ה חיינו פנימה בתוך היא']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3]","[2, 2, 2, 2, 2, 2, 2, 2, 2, -1, -1, -1]"
איימן עודה,"חד""ש-תע""ל","3 במאי 2019, 15:14","['מ ברוק ל קבוצת ה כדורגל עארה ערערה ועלייתה ל ה ליגה א', 'כל הצלחה ל יישוב ערבי או לאזרח היא גם ניצחון על ה גזענות ו ה הדרה', 'ניצחון על חוק ה לאום ש מבקש רשמית להפוך את ה מדינה ל ה יהודים בלבד', 'אבל אנחנו כאן', 'ב ה אוניברסיטאות', 'ב ה תעשייה', 'ב בתי ה חולים', 'ב ה מוסדות ה רשמיים ו ב מגרשי ה כדורגל', 'ממשיכים לעקוב אחרי ה קבוצות בשביל עוד ו עוד ה צלחות', 'אנחנו כאן']","[0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[2, 2, -1, 2, 2, 2, 2, 2, 2, 2]"
איילת שקד,הימין החדש,"2 במאי 2019, 17:54","['לייב כאן בפייסבוק', 'עימות אידיאולוגי מרתק על חוק ה לאום', 'מ ה צד ה אחד אהרון ברק', 'מ ה צד ה אחר אני', 'ברק יתחיל ב 10', 'אני אשיב ל הוא ב 11']","[0, 3, 0, 0, 0, 0]","[2, 0, 2, 2, 2, 2]"
תמר זנדברג,מרצ,"30 באפריל 2019, 11:01","['ב ה דרך ל השבעת ה כנסת ה 21', 'אנחנו לא נרגשים היום', 'לא נעלה תמונות סלפי מחויכות מ ה מליאה', 'ב ה אנו להיאבק', 'ו זה הולך ל היות קשה מ אי פעם', 'קואליציית חסינות משחיתות תמורת סיפוח כבר ב ה פעולה', 'ו מ צריכה אופוזיציה לוחמת', 'מרצ תניח היום על שולחן הכנסת את הצעת ה חוק ה ראשונה ש נעלה ל ה הצבעה', 'ביטול חוק ה לאום', 'מן ה ראוי ש ה דבר ה ראשון ש הכנסת ה זאת תעשה', 'יהיה להשליך ל פח ה זבל של ה הסטוריה את ה חוק ה גזעני ו ה משפיל ה זה', 'למרות ש אין ל אני ציפיות ש זה יקרה בלי מאבק רחב ו נחוש ב כל ה חזיתות', 'מ רצ חוזרת היום ל כ נסת', 'אבל למעשה מעולם לא הפסקנו לעבוד', 'מ אז ה בחירות נאבקנו ב חזרתו של נתן אשל ל ה חיים ה ציבוריים', 'פנינו ל ה יועץ ה משפטי ל ה ממשלה נגד ה ניסיונות להכניס ל ה מומ ה קואליציוני את ענייניו ה משפטיים של ראש ה ממשלה', 'נאבקנו ב דיכוי ה הצבעה ב ה חברה ה ערבית', 'ב ה גזענות', 'ב ה סיפוח ו ב ה פגיעה ב ה עבודה ה מאורגנת', 'בין ה שאר ב חבילת ה חוקים ש נניח היום', 'נמצאות הצעות חוק יסוד זכויות חברתיות', 'נישואים ו גירושים אזרחיים', 'פינוי ה התנחלות מ חברון', 'תחבורה ציבורית ב ה שבת', 'מיסוי ירוק', 'הצעת חוק ל ה פיקוח על ייצוא נשק', 'איסור אפליה ב ה דיור', 'תוספת תקציב קבועה ל תקציב סל ה בריאות', 'ביטול ה משלוחים ה חיים', 'ל ה גליזציה ו זו רק ה התחלה', 'אנחנו פה להיאבק', 'ש יהיה ל כולנו ב ה הצלחה']","[0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 2, 2, 2, 2, 2, -1, -1, -1, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
חמד עמאר,ישראל ביתנו,"6 באפריל 2019, 06:45","['ב ל אני מסכות', 'ב ל אני מעצורים', 'כל ה אמת על חכ חמד עמאר', 'הוא הציע', 'ב תמיכת ה מפלגה אל היא הוא משתייך', 'גרסה ל תיקון ל חוק ה לאום', 'אומנם ה הצעה לא עברה ב ה הצבעה', 'אבל כש הוא מבטיח הוא מקיים', 'הצהרותיו מתייחסות ל ה רצון ו ל ה מהלכים ל שינוי חוק ה לאום', 'ו כל זה ב תמיכה מלאה של מפלגתו', 'מי ש מכיר את חמד יודע ש הוא לא יאכזב ו לא ימכור דברי סרק', 'וכולם יכולים להעיד ש הוא ממשיך לפעול למען ה עדה ב כל כוחו', 'הוא התנגד ל חוק ה לאום ו חלק מ מפלגתו נמנעו מ הצבעה', 'ו לימים אף פרשו מ ה מפלגה ו כל זאת בגלל ה אינטרס של ה מגזר ה רוסי ו ה דרוזי', 'ה חכ ה דרוזי ה יחידי אשר חוקק 6 חוקים ה נוגעים ל ה עדה ה דרוזית', 'ו ב ראשם חוק שילוב דרוזים ב חברות ממשלתיות', 'עובדי רכבת', 'עובדי חברת חשמל ו ב תחומים נוספים', 'ו לכן אחוז ה משתלבים ב יחס ל כמות ה דרוזים ב ה ארץ הנו גבוה', 'תודה ל אתה חכ חמד עמאר', 'ה קמה ו מיסוד תנועות נוער דרוזיות ש מונות לא פחות מ 18', '000 בני נוער', 'ו או ו או ו או', 'ו אין עוד מילים', 'פשוט איש ה פועל ו ה מעשה']","[0, 0, 0, 0, 0, 3, 3, 0, 3, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 2, 2, -1, 0, 2, -1, 0, 2, 2, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
חמד עמאר,ישראל ביתנו,"3 באפריל 2019, 19:44","['יקיריי בני ה עדה ה דרוזית נחשף ה פרצוף ה אמיתי', 'הצעת חוק תיקון חוק ה לאום ש ה עלתי היום נפלה ב רוב גדול 47 נגד', '17 ב ה עד', 'כל מפלגות ה קואלציה הצביעו נגד', 'ה ליכוד', 'ה בית ה יהודי ו עוד ו עוד', 'זוכרים מה אמרו', 'נפלה טעות', 'אחים ש ל אנחנו ו עודבמקביל חלק גדול מ חברי הכנסת של ה מחנה ה ציוני הצביעו נגד', 'ציפי ליבני ב עצמה ש בכתה ל אנחנו ב בית גן נתנה חופש הצבעה ל חברי מפלגתה ו לא עמדה ב ה התחייבות של היא', 'פשוט ביזיון ו בושה', 'ב יום ה בחירות ו גם ללא כל קשר ל ה בחירות אנחנו לא רוצים לראות את הם ב ה כפרים ש לנו יותר', 'ש יפסיקו למכור ל אנחנו לוקשים ו יספרו ל אנחנו סיפורים', 'אחיי ה דרוזים']","[0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, -1, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
איימן עודה,"חד""ש-תע""ל","30 במרץ 2019, 10:20","['יום ה אדמה', 'יום גאוותנו', 'ו לא רק היסטורית', 'מול חוק ה לאום ו חוק קמיניץ ל הריסת בתים של ערבים', 'מול ה תכניות של ממשלות ישראל להשתלט על אדמות ה נגב', 'כל שנה ב 30 ב מרץ אנחנו מחדשים את מאבקנו ה צודק למען ה אדם ו ה אדמה', 'נמשיך ב דרכנו זו', 'דרך ה 30 ב ה מרץ', 'יחי יום ה אדמה']","[0, 0, 0, 3, 0, 0, 0, 0, 0]","[2, 2, 2, -1, 2, 2, 2, 2, 2]"
אלעזר שטרן,כחול לבן,"12 במרץ 2019, 16:13","['ישבתי אתמול על ספסלי בית ה משפט ה עליון', 'ידעתי ש סוף סוף תאלץ ה מדינה למלא את ה חוק ש יזמתי לפני 5 שנים ב נושא ה תאריך ה עברי', 'סעיף 8 של חוק ה לאום קובע ה לוח ה רשמי של ה מדינה הוא לוח עברי ו לצד הוא ישמש ה לוח ה לועזי', 'הרבה לפני חוק ה לאום', 'אנחנו ה סמולנים', 'ה לא לאומיים', 'העברנו חוק על הוספת תאריך עברי ב ה תחליף ה עיקרי ל תעודת ה זהות ה נשלפת ביותר רשיון ה נהיגה', 'ה ממשלה ה לאומית ה זאת', 'ש מרבה ל ה חוקק בעיקר כדי להשניא ו להסית', 'לא קיימה חוק זה למעלה מ חמש שנים', 'כ ה יום', 'רק בזכות התערבותו של בית ה משפט ה עליון', 'הודיעה ה מדינה על תחילת יישומו של ה חוק', 'ב ה קיצור', 'ש לא ילמדו את אנחנו על לאומיות', 'גם לשם כך טוב ש יש בית משפט עליון ב ה ישראל', 'אדריאן סבל']","[0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 0, 2, 2, 2, 2, -1, 2, 2, 2, 2, 2, 2, 2, 2]"
איימן עודה,"חד""ש-תע""ל","2 במרץ 2019, 07:41","['לו ה בחירות היו מתקיימות היום', 'נתניהו ו שריו ה גזענים היו מפסידים', 'ליברמן לא היה עובר את אחוז ה חסימה ש הוא בעצם הוא העלה', 'זה מה ש עולה ב צורה מובהקת מ סקר ערוץ 13', 'ה בחירות ב אפריל עומדות על חודו של קול', 'אנחנו נשים את כל משקלנו כדי להביס את מי ש חוקק את חוק ה לאום', 'חוק קמיניץ', 'הוציא מ חוץ ל ה חוק את ה פלג ה צפוני של ה תנועה ה איסלאמית', 'את מי ש הסית נגד אנחנו יותר מ כל', 'ו ש פועל על מנת לחסל את ה אפשרות להקים מדינה פלסטינית ו השגת שלום', 'ה בא נחזק את ה קול ה פטריוטי', 'ה קול ה אחראי', 'ה קול ה מקצועי', 'ה קול ש מצליח להשפיע', 'אנחנו יכולים']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 2, 2, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
איילת שקד,הימין החדש,"27 בפברואר 2019, 14:31","['אנחנו לא יודעים ו אף אחד לא יודע', 'אתם בעד שינוי חוק ה לאום או נגד', 'אתם בעד מתווה ה גז או נגד', 'אתם בעד שקיפות על ה הסתדרות או נגד', 'אנחנו רק יודעים ש אתם בעד הקמת מדינה פלסטינית ו חניקת ה התיישבות ביוש']","[0, 3, 0, 0, 0]","[2, 0, 2, 2, 2]"
איימן עודה,"חד""ש-תע""ל","25 בפברואר 2019, 18:53","['נציב את כל כוחנו ל שינוי אמיתי ו ל הפלה של ממשלת ה ימין ש חוקקה את חוק ה לאום', 'ו עשרות חוקים גזעניים', 'יש הזדמנות ל ה שינוי', 'ו אנחנו נפעל לממשה']","[3, 3, 0, 0]","[-1, -1, 2, 2]"
תמר זנדברג,מרצ,"22 בפברואר 2019, 15:12","['אתמול ב ה בוקר ה מרכז התאחד ו נפל דבר', 'מ אתמול ב ה בוקר יש סיכוי אמיתי להציג חלופה ל ממשלת ליכוד כהנא חי ו לייצר תקווה ל ה ממשלה אחרת', 'ו עכשיו צריך לדבר על איך זה ייראה', 'יש אפשרות ממשית ש גנץ יחליף את נתניהו', 'אבל הוא חייב לצד הוא מ רצ ברורה ו חזקה', 'שתלחם נגד חוק ה לאום ו נגד ה כיבוש ו תוביל את ממשלת גנץ ל שלום ש תילחם על שוויון ל נשים ו ל ה הטב ו למען הפרדת דת מ מדינה', 'ל מען כלכלה צודקת', 'ו למען ה דמוקרטיה ה ישראלית', 'מפלגת ה גנרלים יכולה לייצר מציאות טובה יותר אבל אסור ש תחזיר את אנחנו לימים ב הם נשים נדחקו ל ה ספסלים ה אחוריים', 'או ל ה ימים ב ה הם ל ה הטבים נשארו ב ה ארון כדי לא להרגיז', 'מרצ בגדולתה ידעה להמריץ את מפלגת ה שלטון ל ה הישגים חסרי תקדים', 'מרצ ידעה לנער את ה שמרנות ו להאבק על ישראל כמו ש ה ישראלים רוצים', 'כמו ש מגיע ל אנחנו', 'עשר שנים אנחנו נלחמים כמו ה ילד עם ה אצבע ב סכר נגד כל ה רעות ה חולות של שלטון ה אימים של נתניהו', 'נלחמנו כש מפלגת ה עבודה ו יש עתיד ישבו את הוא ב ממשלה ו נתנו ל הוא לגיטימציה', 'אני מאמינה ש בעוד חודש ו חצי נתעורר ל בוקר חדש', 'בוקר ש ב הוא נתחיל להלחם ב עד', 'ש נחזור ל ה ממשלה ו נחזור לנצח', 'זה מגיע ל אנחנו', 'אפשר להתחיל לחלום אבל אסור להפסיק לעבוד', 'יש ל אנחנו פחות מ חמישים ימים צריך לתת לתת את ה נשמה ו לא לעצור עד ה סוף', 'הצטרפו אל אנחנו', 'סוף שבוע נפלא']","[0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, -1, 2, -1, 2, 2, 2, 2, 2, 2, 2, -1, -1, 2, 2, 2, 2, 2, 2, 2, 2]"
איימן עודה,"חד""ש-תע""ל","7 בפברואר 2019, 13:28","['היום ב ה בוקר הנחינו את כל סניפינו להיערך להתמודד ב בחירות לבד', 'חדש היא ה חזקה ביותר ו בעלת ה יכולת לעבור את אחוז ה חסימה', 'ו במקביל היא מציבה את ה קול ה אחראי ו ה יציב לשמר את אחדותנו ו לשמר את ה רשימה ה משותפת', 'אני קורא ל כל ה מפלגות ה שותפות לשבת סביב שולחן ה מומ בלי תנאים מ קדימים', 'אנו צריכים לשים על ראש סדר ה עדיפויות את ה אינטרס של עמנו', 'ה אינטרס של ה ציבור', 'אל מול ה אתגרים ו ה סכנות ש עומדים בפני אנחנו', 'אל מול חוק ה לאום ו עסקת ה מאה', 'ה אינטרס ה משותף הוא ה אחדות']","[0, 0, 0, 0, 0, 0, 0, 3, 0]","[2, 2, 2, 2, 2, 2, 2, -1, 2]"
עמר בר-לב,העבודה,"5 בפברואר 2019, 08:25","['כש חוקקו את חוק ה לאום כ רשימת מכולת של ה מובן מאל הוא', 'אבל שכחו את ה מילים שוויון ו דמוקרטיה העלימו את ערכי מגילת ה עצמאות ש נכתבה ב ה רוח נביאי ישראל', 'ה מאבק ב חוק ה לאום אינו מאבק של ה דרוזים בלבד', 'זהו מאבק על צביונה של מדינת ישראל ב רוח מגילת ה עצמאות כ מדינה יהודית', 'דמוקרטית ו נאורה', 'ה מאבק ה זה הוא של כולנו', 'מ סכימות ו מסכימים']","[3, 3, 3, 3, 3, 3, 3]","[-1, -1, -1, -1, 0, -1, 0]"
