post_num,post_idx,text,topic_tag,sentiment_tag
234,2,נמשיך להגן על זהותה של ה מדינה ו למנוע כל ניסיון לפגוע ב ה חוק ה לאום,3,1
279,14,חוק ה לאום,3,0
289,4,מטרתו ה פשוטה להגן על מעמדה של ישראל כ מדינתו של ה עם ה יהודי,3,1
215,11,ה שיוויון ש יצר ה מוות בין דרוזים ל ה יהודים במותם ב הגנה על ה מולדת הוא את הוא ה שיוויון ש אנו מצווים ב הוא גם ב ה חיינו פנימה בתוך היא,3,-1
291,1,יש איום על מדינת ישראל,3,0
267,5,ו זה רק קצה ה קרחון חוק ה לאום,3,-1
232,5,ש כל מטרתו להמשיך את מדיניות ההפרד ו מ שול של נתניהו,3,-1
273,1,שם אקיים ישיבה ל קידום חוק ה לאום,3,1
240,10,ו לא סתם משנים חוק ללא סיבה,3,0
232,9,ל לאום של אני אין שום צורך ב ה חוק,3,-1
300,5,ו לעגן ב חוק יסוד את זהותה של ה מדינה ו ערכיה ה בסיסיים,3,1
242,2,אך אפשר לומר ב כאב עצום כי מותו בקרב של סאל מ מעמיד ב אופן מזוויע עוד יותר את חוק ה לאום ה גזעני ו ה נתעב,3,-1
277,4,אבל למה להכניס ל ה דיון על חוק מ ה סוג ה זה אולטימטומים ו איומים,3,0
297,1,היום יעלה חוק ה לאום ש דרשנו ו נכנס ל ה הסכם ה קואליציוני את אנחנו,3,1
212,4,כל ה עליהום ש היה על מחוקקי ה חוק הוא עליהום מיותר ו מנותק מ ה מציאות,3,1
221,3,מול חוק ה לאום ו חוק קמיניץ ל הריסת בתים של ערבים,3,-1
302,0,שמחתי מאד לשמוע ש ראש ה ממשלה יתמוך ב קידומו של חוק ה לאום,3,1
231,10,אבל כולנו סובלים מן הוא,3,-1
301,5,כך נדרש חוק יסוד אשר יעגן את אופייה ה יהודי,3,1
232,24,מסית ו משסה,3,-1
298,11,אני מקווה ש ועדת שרים ל ה חקיקה תאשר הצעת ה חוק חשובה זו,3,1
272,1,ו ב ה מתכונת ה תואמת את ה עקרונות כפי ש נקבעו ב ה הצעה ה מקורית של חכ דיכטר,3,0
240,11,בטח לא חוק יסוד,3,0
266,0,אישרנו ה לילה ב כנסת ב קריאה ראשונה את חוק ה לאום ש מעגן ב חוק יסוד את מעמדה של ישראל כ מדינת ה לאום של ה עם ה יהודי,3,1
282,0,חוק ה לאום,3,0
286,1,ישראל חייבת לבצר את זהותה,3,1
293,3,חוק זה הוא חשוב,3,1
223,5,אנחנו נשים את כל משקלנו כדי להביס את מי ש חוקק את חוק ה לאום,3,-1
254,5,אבל אם הייתה ה סכמה לא היה חוק,3,0
275,3,אני כפי ש התנגדתי ב ה עבר ו אמשיך להתנגד ל חוק ה לאום ב ה דעה ש ה חוק ה זה לא יעבור ב מתכונתו ה נוכחית כל עוד לא נותן מענה הולם ל בני ה עדה ה דרוזית ב ישראל,3,-1
293,6,ו על כן חוק זה יתקן את ה מעוות,3,1
255,2,זהו יום היסטורי ו מכונן ב הוא אנו מוסיפים חוליה נוספת ב ה שרשרת ה מפוארת את היא החלו אבות ה ציונות,3,1
229,0,מייד אחרי אישורו של חוק ה לאום הבטחתי ש אעשה הכל למען תיקון ה עוול ש נגרם ל ה דרוזים ו ליתר בני ה מיעוטים ה חיים כאן ב שותפות את אנחנו,3,-1
208,1,ב חוג ה בית הצגתי את עמדתי ו את עמדת ה מפלגה ב עניין חוק ה לאום,3,0
274,2,דרישות ישראל ביתנו ל ה תמיכה ב חוק ה לאום,3,0
212,6,ש צצו אחרי ש עבר ה חוק ב קריאה שנייה ו שלישית,3,0
220,2,17 ב ה עד,3,0
241,1,ש ב הוא הרגישה ה עדה ה דרוזית פגיעה מאוד קשה,3,-1
235,12,על אף ה שוני בין הם,3,0
284,6,אני מצפה מ כל ה מפלגות ה ציוניות לשים את ה פוליטיקה ה קטנה ב ה צד ו להתגייס ל טובת ה חוק,3,1
236,4,הכנסת בראשותי לא תשחק את ה משחק ה זה,3,0
294,6,דיון כ ה זה החל לפני שלוש שנים,3,0
255,3,חוק ה לאום מחזק את ה זהות ו ה מורשת ה יהודית ו את כל ה ערכים ב זכותם ישראל קיימת,3,1
232,11,ה לאום של אני הוא אנשים ש רוצים להרבות ש מחה ו להמעיט כ אב,3,-1
292,2,אבל אני לא יכול להבין למה מ טובי ידידיי מתנגדים ל חוק ה לאום ה זה,3,1
257,3,גם אלף חוקי לאום לא ישנו את ה עובדה ש אנחנו בני ה ארץ ה זו ו אין ל אנחנו ארץ אחרת מ לבד היא,3,-1
300,2,אשר ב ה שוליים מתקיימים ב היא חיים יהודיים,3,0
232,3,חוק ה לאום הוא חוק גזעני,3,-1
289,5,ה הצעה תקודם ו תוכן כ הצעה ממשלתית עוד ב ה מושב ה כנסת ה נוכחי,3,1
297,7,זאת ה סיבה ש נדאג ש ה חוק יעבור,3,1
295,1,לאחר שנים של פגיעה מתמשכת מצד מערכת ה משפט ב ה עקרונות ה בסיסיים על הם קמה ה מדינה,3,1
252,3,חוק ה לאום קורא ל התיישבות יהודית ב ה לבד ו מתייחס ל מדינה כ מדינתו של עם אחד,3,-1
235,11,ה מאבקים הללו כולם,3,-1
291,15,אני אמשיך להיאבק על חיזוק זהותה של ישראל כ מדינתו של ה עם ה יהודי,3,1
299,0,שבוע חדש ו פרובוקציה חדשה היום תעלה ל ועדת ה שרים ל ה חקיקה הצעת חוק ה לאום מ בית ה יוצר של חכ זאב אלקין,3,-1
294,11,ל ה חוק דרושה הסכמה רחבה,3,1
237,0,עכשיו סיימתי שיחה עם תלמידי תיכון בליך ב רמת גן על חוק ה לאום,3,0
297,2,מילה על חוק ה לאום,3,0
291,3,אני רואה את ה איום ה זה כל ה זמן,3,0
265,5,ה משפט ה עברי ו ה חוק לפי הוא אדם אחד יכול להכריז על יציאה ל ה מלחמה כולם עברו אתמול ב ה אישון לילה,3,0
241,10,אני מעלה את ה חוקים ש אני עמלתי על הם על מנת לתקן את חוק ה לאום ה פוגעני ה זה,3,-1
254,0,חוק ה לאום יכול ו צריך היה לעבור היום ב ה תמיכה של 100 חברי כנסת,3,1
269,6,ו גם עכשיו ש ממשלת נתניהו רוצה לקדם את חוק ה לאום,3,0
242,5,הם אזרחים סוג ב,3,-1
228,1,אבל שכחו את ה מילים שוויון ו דמוקרטיה העלימו את ערכי מגילת ה עצמאות ש נכתבה ב ה רוח נביאי ישראל,3,-1
228,2,ה מאבק ב חוק ה לאום אינו מאבק של ה דרוזים בלבד,3,-1
247,3,היום נכחתי ב ה הפגנה ש נערכה מול משכן הכנסת ולאחריה קיימתי פגישת עבודה ב משרדי עם יועצי ראש ה ממשלה ל בחינת הצעות ל תיקון חוק ה לאום,3,-1
208,7,ל ה קנסות ו ל ה עוול,3,0
232,2,היום ה מערכת ה פוליטית געשה ו סערה בגלל התבטאות של ה מועמד ה שקט כנגד חוק ה לאום ב מתכונתו ה נוכחית,3,-1
203,1,יועז ה נדל מתגאה ש הוא מנסח חוק ה לאום,3,0
231,3,אבל ב ה טעות שכחו את ה מילים שוויון ו דמוקרטיה ה משמעות היא ש העלימו את ערכי מגילת ה עצמאות ב ה רוח נבאי ישראל,3,-1
232,8,מראה עד כמה ה רעל ה זה חלחל ו השפיע,3,-1
232,22,הוא מפרק את ישראל מ אבני ה יסוד על בסיסם היא הוקמה,3,-1
280,10,ו ה ציבור מצפה ש תתמכו ב ה חוק ו תוכיחו את ה מחויבות של אתם ל ה ערכים ש ב שמם אתם מרבים לדבר מעל כל במה,3,1
281,0,ה ניסיון לעכב את חקיקת חוק ה לאום ב טענות משפטיות כביכול הוא מקומם ו בלתי ראוי,3,1
210,3,ישראל ב היא חוק ה לאום ה גזעני יבוטל זאת התחייבות,3,-1
232,16,הוא עוד אחד מ רשימת ה חוקים ש פשוט מונעת מהם לממש את עצמם,3,-1
229,1,ו ל שילובו ב ה חוק של ערך ה שוויון ב רוח מגילת ה עצמאות,3,-1
232,23,הוא מפריד,3,-1
231,7,מדובר למעשה ב תפיסת עולם לאומנית כוללת,3,-1
262,1,אין ל אני ספק ש זבוטינסקי לעולם לא היה חותם על חוק ה לאום ש הניחה לאחרונה ה קואליציה,3,-1
228,4,דמוקרטית ו נאורה,3,0
260,0,בטח שמעתןם ב ה תקשורת על חוק ה לאום,3,0
240,0,זה לא צביון יהודי זה צביון לאומני,3,-1
298,6,הגיע ה זמן להשוות את שני ה עקרונות כ חוקי יסוד,3,1
270,15,הוא עבר ב קריאה ראשונה ו יש עוד עבודה ל קריאה שניה ו שלישית,3,0
238,2,אני קורא ל כל חברי הכנסת גם מהקואלציה ו גם מ ה אופוזיציה להצביע בעד ה תיקון ה זה ללא כל דיחוי,3,-1
276,2,התמקדתי ב ה דמיון בין הצהרת בלפור ו חוק ה לאום ש נתניהו פועל ל חקיקתו ב ה מושב ה קרוב של הכנסת,3,0
240,9,כולנו יודעים ש לא היה שום ספק ב יהדותה של מדינה ישראל לפני ה חוק ה זה,3,-1
254,3,מדינת ישראל היא ביתו ה לאומי של ה עם ה יהודי,3,1
267,2,ב שנת 2018 רוצים לעגן את ה אפליה ב ה חוק,3,-1
274,4,דרישתנו ה עיקרית היא להוסיף ניסוח חדש ה לקוח מ מגילת ה עצמאות לפי הוא תהא מושתת על יסודות ה חירות,3,-1
286,4,ה חוק ה זה היה אמור להיות כבר מ מזמן ב ספר ה חוקים של מדינת ישראל,3,1
232,10,הוא לא צריך ש יגדירו את הוא באמצעות סעיפים ו תקנונים,3,-1
277,2,אפשר לדון על ניסוחים כ ה אלה ו אחרים ב המשך חוק ה לאום,3,0
206,0,מפליא את אני מ אד ש שוב ו שוב אנשים כותבים ו מגיבים ללא בדיקה של שום נתון ו מבלי לבדוק את ה אמת ש הצבעתי בעד חוק ה לאום ו עוד שאני מ יוזמי ה חוק ה ארור ה זה,3,-1
297,5,כך יהיה יותר קשה לפגוע ב תושבי דרום תא,3,1
241,0,לאחר ש חוקק חוק ה לאום,3,0
254,1,רגע מ כונן של קונצנזוס,3,1
301,6,הנה ה חוק ל מי ש מעוניין לקרוא,3,0
255,8,אני שמח ש נפלה ב חלקי ה זכות להוביל את ה חוק יחד עם חברי חכ אבי דיכטר ו מברך על אישורו,3,1
266,1,זה הישג חשוב ל ה ליכוד ו הישג חשוב ל ה מדינה,3,1
300,4,ו על כן יש הכרח לבלום את ה תהליך ה פוסט ציוני,3,1
255,1,אישרנו את חוק ה לאום ו הבהרנו ב אופן ברור מדינת ישראל היא מדינת ה לאום של ה עם ה יהודי,3,1
293,2,ש גם אני שותפה ל הוא,3,1
213,8,ממשלת חוק ה לאום,3,0
299,2,הצעת חוק ה לאום מנסה לעגן ב ה חקיקה את ה אפליה ו חוסר ה שוויון כלפי אזרחי ישראל ה ערבים,3,-1
228,6,מ סכימות ו מסכימים,3,0
240,7,כל הבטחות ה ממשלה שחוק ה לאום יהיה הצהרתי בלבד,3,-1
236,1,אם ב ה גצ יתערב ב ה חוק יסוד ש הכנסת חוקקה,3,1
254,11,ו זו ה סיבה ה יחידה ש באמצעות שליחיו הביא חוק ב ה נוסח ש לא בגין ו לא זבוטינסקי היו מצביעים בעד הוא,3,-1
294,5,אני הסכים את היא ל ה גמריי,3,0
241,5,חוק יסוד,3,0
231,6,כש מדובר ב חוק ה לאום ה נוכחי,3,-1
208,4,ב ה כנסת ה קודמת העליתי חוק ל ביטול חוק ה לאום ב כ ה נסת,3,-1
260,8,תנו ל אני ל ה ספר ל כןם משהו ש לא ידעתןם על חוק ה לאום,3,0
215,10,דעו נא כי אני אינני מוכן לוותר עליכם כ ה אחים ו ה שותפים שווים ו אנו מחויבים ב תיקונו,3,-1
275,8,ליברמן על חוק ה לאום,3,0
278,5,ש מנסה ל חוקק את חוק ה לאום ו ממשיכה להסית נגד ה אזרחים ה ערבים יותר מ כל ממשלה אחרת,3,-1
236,2,ו אני אישית ערב ל כך ש חוקקה ב ה יסודיות,3,1
240,12,מטרת ה ממשלה היא מובהקת לתת מעטפת חוקתית ש תאפשר אפלייה ו הפרדה גזעית ב ה חוק,3,-1
212,8,הפייק ניוז ש הופצו לפי הם ה חוק יפגע ב אחינו מ ה מגזר ה דרוזי התגלו ב מהלך ה שנה כשקר גמור אף חוק לא נחקק ו שום דבר לא קודם נגד ה מגזר ה דרוזי,3,1
237,1,לצד ה מאבק של אנחנו ב חוק ה דיאלוג גם הכרחי הוא מאפשר ל הנכיח את ה התנגדות ו גם מעמת את מתנגדי ה שוויון,3,-1
217,1,עימות אידיאולוגי מרתק על חוק ה לאום,3,0
296,2,כל ה כבוד לחכ איילת שקד ש יזמה את ה חוק ה זה,3,1
291,16,ו על זכויות פרט שוות ל ה כולם,3,1
284,0,העברנו היום את חוק ה לאום ב קריאה טרומית ו נגיש את הוא בקרוב כ הצעת חוק ממשלתית,3,1
252,5,ה כעס צריך להיות מופנה אל מחוקקי חוק ה לאום,3,-1
260,2,זה נכון,3,-1
228,0,כש חוקקו את חוק ה לאום כ רשימת מכולת של ה מובן מאל הוא,3,-1
270,12,סיימנו עם נוסח שמסיר את רכיב ה עלינות של חוק ה לאום על חוקי ה זכויות ו ה ערכים ה יהודיים ו ה דמוקרטיים הופכים ש ווי מעמד ב ראיה של כלל חוקי ה יסוד,3,1
252,4,זו ה סיבה ש בגלל היא אנחנו פונים לעולם,3,0
257,2,נגד חוק ה לאום,3,-1
204,12,אנחנו כוח עצום ש מפחיד את מחוקקי חוק ה לאום ו חוק קמיניץ ו מי ש הותיר את כנופיות ה פשע להשתולל ב ה רחובות,3,-1
260,1,כמה הוא גזעני ו כמה הוא מפלה ערבים,3,-1
284,2,מה יש ל לפיד ו הרצוג נגד חוק יסוד ש מעגן חוקית את מעמדה של ישראל כ מדינה יהודית ו דמוקרטית,3,1
280,6,הרשו ל אני להרגיע את אתם ה חוק לא בא לקבוע דבר חדש,3,1
274,3,חוק ה לאום ב מתכונתו ה נוכחית תהפוך את מדינת ישראל ל מדינת ה לכה ו בעיקר תפגע ב ה דרוזים ב ה ישראל,3,-1
245,4,ו ב ה ראשן חוק ה לאום ו סכנותיו,3,-1
216,2,ניצחון על חוק ה לאום ש מבקש רשמית להפוך את ה מדינה ל ה יהודים בלבד,3,-1
270,10,להגדיר את יהדותה של ה מדינה כ גוברת על ה ערכים ה דמוקרטים של זכויות פרט,3,-1
212,2,הוא מכסה על פרצות ש התגלו ב מהלך ה שנים ו נוצלו על ידי גורמים כ ה אלו ו אחרים ש רוצים לקעקע את זהותה של מדינת ישראל כ מדינת ה לאום של ה עם ה יהודי,3,1
231,8,כ ה זו ה מפרידה ו מדרגת את ה חברה עפ קבוצות שייכות,3,-1
248,1,אתמול ו היום קיימתי שתי פגישות עם קהל ב נושא חוק ה לאום ו ה אתגרים ש עומדים בפני אנחנו,3,-1
232,0,את חוק ה לאום לא צריך לתקן,3,-1
259,18,ה ממשלה עסוקה ב חקיקת חוקים גזעניים,3,-1
247,2,ב ראש מעיניי יהיה ה עשייה ה מתמדת ל תיקון ה עיוות ש יצר חוק ה לאום,3,-1
265,4,זאת ה משמעות של חקיקת חוק ה לאום,3,0
277,5,חייבים ה סכמה של מה ש יותר ציבורים על חוק כ ה זה,3,0
219,8,הצהרותיו מתייחסות ל ה רצון ו ל ה מהלכים ל שינוי חוק ה לאום,3,-1
272,0,חוק ה לאום יאושר ב ה קריאה ה ראשונה ב ה נוסח כפי ש סוכם בין ראשי מפלגות ה קואליציה,3,0
289,3,ש לא ברור איך לא עוגן ב ה חקיקה עד כה,3,1
297,6,זאת ה סיבה ש ה שמאל יוצא נגד הוא,3,0
283,3,אני קורא ל ה ממשלה לתמוך ב ה חוק,3,1
279,15,מילה אחת חסרה ב הצעת ה חוק,3,0
295,2,ה החלטה ה דיקטטורית של לפיד לפי היא הוא מורה ל חברי סיעתו להצביע נגד ה חוק ב טענה ש הוא פוגע ב דמוקרטיה,3,0
300,0,מחזירים את ישראל ל מסלול ציוני תוקם ועדה ש תנסח את סעיפי חוק ה לאום ש יזמתי,3,1
204,2,לשם ביטול חוק ה לאום,3,-1
293,4,ב כך ש סוף סוף נעגן ב ה חקיקה את עצם היותנו ה מדינה ה יהודית,3,1
251,5,אנחנו גם נתגבר על חוק ה לאום,3,-1
294,8,יתבצעו ב חוק שינויים ו ה מקום לעשות זאת הוא ב ועדות ב ה כנסת,3,0
295,4,אני נחוש להביא ל השלמת ה חקיקה את היא יזמתי על מנת להבטיח ש ה נוסחה יהודית ו דמוקרטית תשונה ל יהודית בעלת משטר דמוקרטי,3,1
256,8,זה חוק ה לאומנות,3,-1
295,5,ב ה אופן ש יחזיר את ה סדר ה נכון על כנו,3,1
218,9,מן ה ראוי ש ה דבר ה ראשון ש הכנסת ה זאת תעשה,3,-1
301,0,ב יום ראשון יועלה חוק ה לאום של חכ לוין,3,0
256,7,ו ה חוק ה זה הוא לא חוק ה לאום,3,0
291,5,ב ה כנסת ו ב בתי ה משפט,3,0
269,7,היא עושה זאת נגד כולנו,3,-1
212,0,ב יום שלישי ה אחרון התארחתי ב אוניברסיטת בר אילן ב ה כנס ב נושא חוק ה לאום,3,0
231,15,אז מי ש מתנגד ל תפיסה לאומנית ו מפלה זו,3,-1
291,2,יש איום על זהותה ה יהודית של מדינת ישראל,3,0
291,7,ו בין אם זה כש יש מי ש יוצא נגד ייהוד של ה גליל ו ה נגב,3,0
266,2,הגדרתי את הוא מראש כ אחד ה חוקים ה חשובים ביותר ש הכנסת יכולה ל ה חוקק,3,1
240,14,ה כתובת היתה על ה קיר ו ה השלכות על חיינו ו עתיד מדינתנו קשות ל ה צביון ה יהודי,3,-1
250,8,אנו ממשיכים ב כוח ל ביטול חוק ה לאום,3,-1
240,1,חזרנו ו הזהרנו שוב ו שוב שחוק ה לאום הוא חוק ה לאומנות ו ה הוכחות לא מפסיקות להגיע,3,-1
275,2,ו במיוחד ה בעיה ב ה ניסוח של הוא גם לגבי אוכלוסיה ש אינה יהודית אך נושאת ב כל ה חובות כמו אחינו ה דרוזים,3,-1
228,5,ה מאבק ה זה הוא של כולנו,3,-1
279,21,איזו מילה אחת חסרה ב ה חוק,3,0
280,7,ה חוק אומר את ה מובן מ אל הוא,3,1
206,1,ב ה בקשה מצורפים רשימת מצביעי ה חוק ב קריאה שנייה ו שלישית ו גם נוסח חוק ה לאום כפי ש הוגש ל ה כנסת,3,0
214,4,לא כמו ש מציע חוק ה לאום,3,-1
289,1,לפני זמן קצר העברתי ב וועדת ה שרים ל ה חקיקה את הצעת חוק ה לאום,3,1
220,1,הצעת חוק תיקון חוק ה לאום ש ה עלתי היום נפלה ב רוב גדול 47 נגד,3,-1
231,12,ו זה ממש לא פאנצר מקרי ב ה חקיקה ש יש לתקן,3,-1
297,4,ב ה גצ יצטרך גם להכניס ל שיקוליו ש ישראל היא ה בית ה לאומי של ה עם ה יהודי ו לא רק את כבוד ה אדם ו חרותו,3,0
285,1,מה ש הקפיץ את ה צעקות ו את ה צרחות ב ספסלי ה רשימה ה משותפת זו רק אמירה אחת מ מה ש הקראתי,3,0
302,1,את ה חוק הגשתי ב יחד עם יריב לוין ו רוברט אילטוב ו נקדמו ב ה מושב ה נוכחי,3,1
249,2,חוקקנו את חוק ה לאום ו עוד עשרות חוקים ש יעשו שינוי משמעותי ב ה חברה ב ה כלכלה ו ב ה ביטחון,3,1
258,3,דמותה ה דמוקרטית של מדינת ישראל נמצאת ב ימים אלה תחת התקפה,3,-1
286,0,חוק ה לאום ש הייתי מיוזמיו הוא צעד נוסף ו חשוב ב ה דרך ל מימוש ה הגדרה ה עצמית ו ה לאומית של ה עם ה יהודי ב מדינת ישראל,3,1
275,1,שר ה ביטחון ו יור מפלגת ישראל ביתנו חכ אביגדור ליברמן הצהיר היום ו ב אופן חד ו ברור ש חוק ה לאום הינו חוק קשה ו בעייתי,3,-1
283,0,ה נחנו על שולחן הכנסת את חוק ה לאום ב ה נוסח של חכ בני בגין מ ה ליכוד,3,1
291,12,אמנם התקשורת צינית כלפי ה חוק ה זה ו אומרת ש אין ב ה אמת סכנה,3,0
270,1,חוק ה לאום הוא חוק חשוב,3,1
235,9,חוק ה לאום,3,0
302,2,אני מקווה ש תהליך ה חקיקה יהיה יסודי ו פורה ו אני מזמינה כל ארגון ו כל אדם בעל עניין לקחת ב הוא חלק לכשיגיע ל דיוני ה ועדה,3,1
246,1,ה יום ב מסגרת ניאומי הדקה ב ה כנסת העליתי שוב ו ב המשך ל פגישתי מ אתמול עם ה יועצים ה משפטיים של ראש ה ממשלה את קידום ה פתרון ה רצוי ל תיקון ה עוול ש עשה חוק ה לאום ל ה עדה ה דרוזית ב ה ישראל,3,-1
243,4,ה קריאה ה ראשונה הערב,3,0
232,21,ה חוק ה זה עושה ב דיוק ה הפך,3,-1
220,3,כל מפלגות ה קואלציה הצביעו נגד,3,0
228,3,זהו מאבק על צביונה של מדינת ישראל ב רוח מגילת ה עצמאות כ מדינה יהודית,3,-1
232,7,ו ה פחד של חלק נרחב מ חבריי ל ה מחנה להגיד ש יש ל ה בטלו,3,-1
276,7,אל מול הצעת נתניהו ש מכחישה את זכויות עמנו אנו מציעים פתרון צודק ו שוויוני ל שני ה עמים,3,-1
250,4,ה מאבק של אנחנו נגד ה חוק מתנהל ב ה ראש ו ב ה ראשונה ב ה ישראל,3,-1
236,3,זה יהיה משבר קונסטיטוציוני ש ה מדינה לא ראתה כמו הוא,3,0
229,2,חזרתי על הבטחתי זו גם ה יום ב פגישתי ב חיפה עם צוות ה קצינים ה דרוזי ה מוביל את ה מאבק ל תיקון ה חוק,3,-1
218,11,למרות ש אין ל אני ציפיות ש זה יקרה בלי מאבק רחב ו נחוש ב כל ה חזיתות,3,-1
290,5,אנחנו מתחילים לקדם את חקיקת חוק ה לאום,3,1
253,0,חוק ה לאום הוא ה חוק ה חשוב ביותר ש חוקקה הכנסת ה 20,3,1
209,0,אנחנו זוכרים את כל ה הבטחות ב עניין חוק ה לאום ו יודעים בדיוק איפה כל זה עומד,3,-1
281,1,התקיים דיון ציבורי ארוך ב ה נושא מ אז העברת ה חוק ב ה קריאה ה טרומית ו אין מניעה מ לקיים דיונים ב ה וועדה ב ה שבועיים ה קרובים ו להעבירו ב ה קריאה ראשונה,3,1
268,1,מי הוא אזרח סוג ב,3,-1
300,3,עיקרון זה נשחק ב קצב הולך ו גובר ב פסיקות ב גץ,3,0
291,17,זכויות לאומיות ב ישראל יהיו רק ל ה עם ה יהודי,3,1
287,5,אם ל ה מישהו מן אתם נותר אתמול ספק מדוע העברתי את חוק ה לאום ב וועדת ה שרים,3,1
279,24,אנחנו מתנגדים ל ה חוק ב נוסחו ה זה,3,-1
232,1,צריך לבטל,3,-1
231,4,את זכויות ה מיעוטים ו את ה שוויון בפני ה חוק,3,-1
285,0,חוק ה לאום ש יזמתי יחד עם חכ אבי דיכטר עבר ב קריאה טרומית,3,1
276,5,מ מול חוק ה לאום,3,0
300,6,ב כוונתי לעשות מאמץ גדול על מנת לגבש הסכמה רחבה סביב נוסחו ה סופי של ה חוק ב כדי ש נוכל לקדמו כבר ב ה מושב ה כנסת ה נוכחי,3,1
298,8,ש לא יווצר מצב ש ה עיקרון ה דמוקרטי גובר על עיקרון ה מדינה ה יהודית ו ש לא יווצר מצב הפוך ש ב הוא עיקרון ה מדינה ה יהודית גובר על ה עיקרון ה דמוקרטי אלא ש יהיה ש יוון בין שני ה עקרונות,3,1
294,12,לגבי ה טענה ש אין ל ה חוקק חוק מהותי כל כך ב חקיקה פרטית אבקש להזכיר כי חוקי ה יסוד חוקיסוד,3,0
207,2,חוק ה לאום,3,0
272,5,חוק ה לאום הוא מ ה חוקים ה חשובים ביותר ב ה הם עסקה הכנסת אי פעם ו ב כוונתנו להביאו ל ה הצבעה כבר ב מושב הכנסת ה קרוב,3,1
270,2,עוד צעד ב כינון ה חוקה ה ישראלית ה עיסוק ב הוא מבטא מתחים גדולים ב ה חברה ה מגוונת ש ל אנחנו,3,1
